site_id,time,temp_c
DL,2026-03-06T22:00:00.000000,1.260736465
DL,2026-03-06T23:00:00.000000,1.259097815
DL,2026-03-07T00:00:00.000000,1.261242032
DL,2026-03-07T01:00:00.000000,1.273521423
DL,2026-03-07T02:00:00.000000,1.278145909
DL,2026-03-07T03:00:00.000000,1.280495167
DL,2026-03-07T04:00:00.000000,1.271028399
DL,2026-03-07T05:00:00.000000,1.254604936
DL,2026-03-07T06:00:00.000000,1.256946206
DL,2026-03-07T07:00:00.000000,1.266676784
DL,2026-03-07T08:00:00.000000,1.273483992
DL,2026-03-07T09:00:00.000000,1.28360188
DL,2026-03-07T10:00:00.000000,1.284421086
DL,2026-03-07T11:00:00.000000,1.283854842
DL,2026-03-07T12:00:00.000000,1.290672541
DL,2026-03-07T13:00:00.000000,1.303513646
DL,2026-03-07T14:00:00.000000,1.314192653
DL,2026-03-07T15:00:00.000000,1.312882185
DL,2026-03-07T16:00:00.000000,1.296045423
DL,2026-03-07T17:00:00.000000,1.272421122
DL,2026-03-07T18:00:00.000000,1.269147396
DL,2026-03-07T19:00:00.000000,1.277127028
DL,2026-03-07T20:00:00.000000,1.283957243
DL,2026-03-07T21:00:00.000000,1.294652224
DL,2026-03-07T22:00:00.000000,1.30332756
DL,2026-03-07T23:00:00.000000,1.307065368
DL,2026-03-08T00:00:00.000000,1.313566804
GB,2026-03-02T00:00:00.000000,0.814631045
GB,2026-03-02T01:00:00.000000,0.479491591
GB,2026-03-02T02:00:00.000000,0.428785443
GB,2026-03-02T03:00:00.000000,0.414174885
GB,2026-03-02T04:00:00.000000,0.414836079
GB,2026-03-02T05:00:00.000000,0.363165319
GB,2026-03-02T06:00:00.000000,0.338858068
GB,2026-03-02T07:00:00.000000,0.345333725
GB,2026-03-02T08:00:00.000000,0.327455193
GB,2026-03-02T09:00:00.000000,0.370828718
GB,2026-03-02T10:00:00.000000,0.307427019
GB,2026-03-02T11:00:00.000000,0.252535433
GB,2026-03-02T12:00:00.000000,0.235230729
GB,2026-03-02T13:00:00.000000,0.235239774
GB,2026-03-02T14:00:00.000000,0.249680743
GB,2026-03-02T15:00:00.000000,0.271328479
GB,2026-03-02T16:00:00.000000,0.353537083
GB,2026-03-02T17:00:00.000000,0.374420881
GB,2026-03-02T18:00:00.000000,0.421096861
GB,2026-03-02T19:00:00.000000,0.470524013
GB,2026-03-02T20:00:00.000000,0.511608839
GB,2026-03-02T21:00:00.000000,0.52569437
GB,2026-03-02T22:00:00.000000,0.599895418
GB,2026-03-02T23:00:00.000000,0.493239969
GB,2026-03-03T00:00:00.000000,0.431748688
GB,2026-03-03T01:00:00.000000,0.244453773
GB,2026-03-03T02:00:00.000000,0.203601524
GB,2026-03-03T03:00:00.000000,0.186632872
GB,2026-03-03T04:00:00.000000,0.187864944
GB,2026-03-03T05:00:00.000000,0.181067944
GB,2026-03-03T06:00:00.000000,0.177360922
GB,2026-03-03T07:00:00.000000,0.189401969
GB,2026-03-03T08:00:00.000000,0.198027164
GB,2026-03-03T09:00:00.000000,0.213844642
GB,2026-03-03T10:00:00.000000,0.20521079
GB,2026-03-03T11:00:00.000000,0.186668083
GB,2026-03-03T12:00:00.000000,0.144037232
GB,2026-03-03T13:00:00.000000,0.141664132
GB,2026-03-03T14:00:00.000000,0.158367321
GB,2026-03-03T15:00:00.000000,0.189427108
GB,2026-03-03T16:00:00.000000,0.228014857
GB,2026-03-03T17:00:00.000000,0.326812446
GB,2026-03-03T18:00:00.000000,0.379231334
GB,2026-03-03T19:00:00.000000,0.43514508
GB,2026-03-03T20:00:00.000000,0.499308825
GB,2026-03-03T21:00:00.000000,0.547909379
GB,2026-03-03T22:00:00.000000,0.559061468
GB,2026-03-03T23:00:00.000000,0.596588135
GB,2026-03-04T00:00:00.000000,0.49437353
GB,2026-03-04T01:00:00.000000,1.180861354
GB,2026-03-04T02:00:00.000000,1.293417454
GB,2026-03-04T03:00:00.000000,1.289043903
GB,2026-03-04T04:00:00.000000,1.295628309
GB,2026-03-04T05:00:00.000000,1.350160003
GB,2026-03-04T06:00:00.000000,1.368587375
GB,2026-03-04T07:00:00.000000,1.3565346
GB,2026-03-04T08:00:00.000000,1.382797599
GB,2026-03-04T09:00:00.000000,1.406453967
GB,2026-03-04T10:00:00.000000,1.420704246
GB,2026-03-04T11:00:00.000000,1.443889022
GB,2026-03-04T12:00:00.000000,1.375016689
GB,2026-03-04T13:00:00.000000,1.354042768
GB,2026-03-04T14:00:00.000000,1.353062153
GB,2026-03-04T15:00:00.000000,1.373409271
GB,2026-03-04T16:00:00.000000,1.400270104
GB,2026-03-04T17:00:00.000000,1.450075626
GB,2026-03-04T18:00:00.000000,1.557068944
GB,2026-03-04T19:00:00.000000,1.541071177
GB,2026-03-04T20:00:00.000000,1.58618319
GB,2026-03-04T21:00:00.000000,1.631014347
GB,2026-03-04T22:00:00.000000,1.649601221
GB,2026-03-04T23:00:00.000000,1.654479623
GB,2026-03-05T00:00:00.000000,1.666959882
GB,2026-03-05T01:00:00.000000,1.637410283
GB,2026-03-05T02:00:00.000000,1.619507909
GB,2026-03-05T03:00:00.000000,1.602930188
GB,2026-03-05T04:00:00.000000,1.595748425
GB,2026-03-05T05:00:00.000000,1.583557963
GB,2026-03-05T06:00:00.000000,1.633752227
GB,2026-03-05T07:00:00.000000,1.61136055
GB,2026-03-05T08:00:00.000000,1.623699665
GB,2026-03-05T09:00:00.000000,1.642696857
GB,2026-03-05T10:00:00.000000,1.653897762
GB,2026-03-05T11:00:00.000000,1.653255582
GB,2026-03-05T12:00:00.000000,1.72051394
GB,2026-03-05T13:00:00.000000,1.661128163
GB,2026-03-05T14:00:00.000000,1.639104009
GB,2026-03-05T15:00:00.000000,1.627826095
GB,2026-03-05T16:00:00.000000,1.623342514
GB,2026-03-05T17:00:00.000000,1.62410593
GB,2026-03-05T18:00:00.000000,1.681715727
GB,2026-03-05T19:00:00.000000,1.727347255
GB,2026-03-05T20:00:00.000000,1.746806979
GB,2026-03-05T21:00:00.000000,1.810665369
GB,2026-03-05T22:00:00.000000,1.851393819
GB,2026-03-05T23:00:00.000000,1.875199556
GB,2026-03-06T00:00:00.000000,1.893711686
GB,2026-03-06T01:00:00.000000,1.914476395
GB,2026-03-06T02:00:00.000000,1.808291554
GB,2026-03-06T03:00:00.000000,1.770208955
GB,2026-03-06T04:00:00.000000,1.753696561
GB,2026-03-06T05:00:00.000000,1.745583534
GB,2026-03-06T06:00:00.000000,1.743530631
GB,2026-03-06T07:00:00.000000,1.781391978
GB,2026-03-06T08:00:00.000000,1.825556993
GB,2026-03-06T09:00:00.000000,1.886650205
GB,2026-03-06T10:00:00.000000,1.92007041
GB,2026-03-06T11:00:00.000000,1.943212748
GB,2026-03-06T12:00:00.000000,1.951714158
GB,2026-03-06T13:00:00.000000,2.01064229
GB,2026-03-06T14:00:00.000000,1.908968568
GB,2026-03-06T15:00:00.000000,1.869242668
GB,2026-03-06T16:00:00.000000,1.846327305
GB,2026-03-06T17:00:00.000000,1.835216522
GB,2026-03-06T18:00:00.000000,1.818077445
GB,2026-03-06T19:00:00.000000,1.88605082
GB,2026-03-06T20:00:00.000000,1.93031764
GB,2026-03-06T21:00:00.000000,1.970602274
GB,2026-03-06T22:00:00.000000,2.001614809
GB,2026-03-06T23:00:00.000000,2.027003288
GB,2026-03-07T00:00:00.000000,2.040803909
GB,2026-03-07T01:00:00.000000,2.084346056
GB,2026-03-07T02:00:00.000000,1.966941357
GB,2026-03-07T03:00:00.000000,1.911295533
GB,2026-03-07T04:00:00.000000,1.874043107
GB,2026-03-07T05:00:00.000000,1.852653146
GB,2026-03-07T06:00:00.000000,1.83535707
GB,2026-03-07T07:00:00.000000,1.877025843
GB,2026-03-07T08:00:00.000000,1.898006439
GB,2026-03-07T09:00:00.000000,1.935015917
GB,2026-03-07T10:00:00.000000,1.96276772
GB,2026-03-07T11:00:00.000000,1.986653805
GB,2026-03-07T12:00:00.000000,2.012026072
GB,2026-03-07T13:00:00.000000,2.014485359
GB,2026-03-07T14:00:00.000000,2.054426908
GB,2026-03-07T15:00:00.000000,1.938634872
GB,2026-03-07T16:00:00.000000,1.914607406
GB,2026-03-07T17:00:00.000000,1.907422185
GB,2026-03-07T18:00:00.000000,1.907363534
GB,2026-03-07T19:00:00.000000,1.896345139
GB,2026-03-07T20:00:00.000000,1.974843621
GB,2026-03-07T21:00:00.000000,2.013622522
GB,2026-03-07T22:00:00.000000,2.043335676
GB,2026-03-07T23:00:00.000000,2.069175482
GB,2026-03-08T00:00:00.000000,2.09793973
LI,2026-03-02T00:00:00.000000,1.059590459
LI,2026-03-02T01:00:00.000000,0.799373269
LI,2026-03-02T02:00:00.000000,0.740142584
LI,2026-03-02T03:00:00.000000,0.72053349
LI,2026-03-02T04:00:00.000000,0.679104209
LI,2026-03-02T05:00:00.000000,0.615914345
LI,2026-03-02T06:00:00.000000,0.562879205
LI,2026-03-02T07:00:00.000000,0.609302521
LI,2026-03-02T08:00:00.000000,0.584183812
LI,2026-03-02T09:00:00.000000,0.501420796
LI,2026-03-02T10:00:00.000000,0.478345841
LI,2026-03-02T11:00:00.000000,0.547471881
LI,2026-03-02T12:00:00.000000,0.522291064
LI,2026-03-02T13:00:00.000000,0.483225673
LI,2026-03-02T14:00:00.000000,0.465026706
LI,2026-03-02T15:00:00.000000,0.484722435
LI,2026-03-02T16:00:00.000000,0.516462326
LI,2026-03-02T17:00:00.000000,0.574998617
LI,2026-03-02T18:00:00.000000,0.645904481
LI,2026-03-02T19:00:00.000000,0.661562145
LI,2026-03-02T20:00:00.000000,0.644431412
LI,2026-03-02T21:00:00.000000,0.64614284
LI,2026-03-02T22:00:00.000000,0.622309804
LI,2026-03-02T23:00:00.000000,0.591703176
LI,2026-03-03T00:00:00.000000,0.577682614
LI,2026-03-03T01:00:00.000000,0.389429599
LI,2026-03-03T02:00:00.000000,0.347973108
LI,2026-03-03T03:00:00.000000,0.368881732
LI,2026-03-03T04:00:00.000000,0.383116245
LI,2026-03-03T05:00:00.000000,0.388666093
LI,2026-03-03T06:00:00.000000,0.329249471
LI,2026-03-03T07:00:00.000000,0.360629171
LI,2026-03-03T08:00:00.000000,0.345195621
LI,2026-03-03T09:00:00.000000,0.329497844
LI,2026-03-03T10:00:00.000000,0.285591841
LI,2026-03-03T11:00:00.000000,0.318229675
LI,2026-03-03T12:00:00.000000,0.308565944
LI,2026-03-03T13:00:00.000000,0.322940826
LI,2026-03-03T14:00:00.000000,0.36368838
LI,2026-03-03T15:00:00.000000,0.43672502
LI,2026-03-03T16:00:00.000000,0.501366079
LI,2026-03-03T17:00:00.000000,0.552019656
LI,2026-03-03T18:00:00.000000,0.636125147
LI,2026-03-03T19:00:00.000000,0.701398492
LI,2026-03-03T20:00:00.000000,0.727585912
LI,2026-03-03T21:00:00.000000,0.717857361
LI,2026-03-03T22:00:00.000000,0.710507035
LI,2026-03-03T23:00:00.000000,0.640112579
LI,2026-03-04T00:00:00.000000,0.624600053
LI,2026-03-04T01:00:00.000000,1.22431004
LI,2026-03-04T02:00:00.000000,1.416736007
LI,2026-03-04T03:00:00.000000,1.435094118
LI,2026-03-04T04:00:00.000000,1.470238686
LI,2026-03-04T05:00:00.000000,1.526804566
LI,2026-03-04T06:00:00.000000,1.538132429
LI,2026-03-04T07:00:00.000000,1.543504596
LI,2026-03-04T08:00:00.000000,1.549333692
LI,2026-03-04T09:00:00.000000,1.540897846
LI,2026-03-04T10:00:00.000000,1.53911984
LI,2026-03-04T11:00:00.000000,1.539813519
LI,2026-03-04T12:00:00.000000,1.54167676
LI,2026-03-04T13:00:00.000000,1.555500865
LI,2026-03-04T14:00:00.000000,1.583390236
LI,2026-03-04T15:00:00.000000,1.634435058
LI,2026-03-04T16:00:00.000000,1.697012424
LI,2026-03-04T17:00:00.000000,1.758732557
LI,2026-03-04T18:00:00.000000,1.811182857
LI,2026-03-04T19:00:00.000000,1.869083405
LI,2026-03-04T20:00:00.000000,1.868106365
LI,2026-03-04T21:00:00.000000,1.817918539
LI,2026-03-04T22:00:00.000000,1.808063149
LI,2026-03-04T23:00:00.000000,1.801604271
LI,2026-03-05T00:00:00.000000,1.795619488
LI,2026-03-05T01:00:00.000000,1.809143305
LI,2026-03-05T02:00:00.000000,1.806450248
LI,2026-03-05T03:00:00.000000,1.784917235
LI,2026-03-05T04:00:00.000000,1.762908101
LI,2026-03-05T05:00:00.000000,1.762494922
LI,2026-03-05T06:00:00.000000,1.767189741
LI,2026-03-05T07:00:00.000000,1.761877894
LI,2026-03-05T08:00:00.000000,1.757818937
LI,2026-03-05T09:00:00.000000,1.76469624
LI,2026-03-05T10:00:00.000000,1.764393926
LI,2026-03-05T11:00:00.000000,1.75166893
LI,2026-03-05T12:00:00.000000,1.748356462
LI,2026-03-05T13:00:00.000000,1.747468352
LI,2026-03-05T14:00:00.000000,1.748870611
LI,2026-03-05T15:00:00.000000,1.756616354
LI,2026-03-05T16:00:00.000000,1.78165555
LI,2026-03-05T17:00:00.000000,1.813937664
LI,2026-03-05T18:00:00.000000,1.844703555
LI,2026-03-05T19:00:00.000000,1.880821943
LI,2026-03-05T20:00:00.000000,1.914179564
LI,2026-03-05T21:00:00.000000,1.931933284
LI,2026-03-05T22:00:00.000000,1.92617929
LI,2026-03-05T23:00:00.000000,1.919501305
LI,2026-03-06T00:00:00.000000,1.910647631
LI,2026-03-06T01:00:00.000000,1.889828563
